,column1,column2,column3
0,,0.380057851,0.919388857
1,0.922250592,0.490720525,0.133931734
3,0.363706572,0.878348817,0.485699967
6,0.323133868,0.036466024,0.186775064
7,0.467609956,0.850992578,0.377557878
8,0.303298666,0.096970519,0.451031099
9,0.733485315,0.591996442,0.658923782
10,0.641628229,0.251886283,0.274986853
12,0.319905543,0.489200356,0.99031912
13,0.780267224,0.458454395,0.053427743
15,0.935874596,0.698276059,0.446885327
17,0.273192901,0.300306861,0.768270317
18,0.46706004,0.225161086,0.911569679
20,0.300588879,0.455979916,0.292225321
21,0.859969901,0.346538522,0.364628684
22,0.842364415,0.09348522,0.662065765
23,0.781693324,0.573344244,0.815692483
24,0.788948846,0.945624787,0.852689747
